18,1,4,2,-1,-1,-1,-1,-1,-1,-1,2,1,2,17
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,34,33,-1,34,28,27,35,-1,-1,-1,-1
-1,-1,-1,-1,17,12,-1,3,1,2,1,-1,-1,-1,-1
-1,-1,-1,-1,23,18,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,4,-1,-1,-1,34,35,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,5,6,-1,-1,-1,-1
-1,-1,-1,-1,30,31,32,33,-1,11,6,-1,-1,-1,-1
-1,-1,-1,-1,1,2,3,4,-1,1,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
24,27,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,26,29
