0,3,1,1,-1,-1,-1,-1,-1,-1,-1,2,3,4,11
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,30,25,33,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,17,14,6,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,3,4,1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
24,26,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,25,29
