-1,-1,-1,-1,4,5,5,5,5,5,11,-1,-1,-1,-1
-1,0,2,2,16,5,5,5,5,5,17,1,1,3,-1
-1,4,5,5,5,5,5,5,5,5,5,5,5,11,-1
-1,8,5,5,5,5,5,5,5,5,5,5,5,11,-1
2,16,5,19,14,13,18,5,19,13,13,18,5,17,1
5,5,5,7,-1,-1,12,13,15,-1,-1,4,5,5,5
5,5,5,11,-1,-1,-1,-1,-1,-1,-1,4,5,5,5
5,5,5,11,-1,-1,-1,-1,-1,-1,-1,8,5,5,5
5,5,5,11,-1,-1,-1,-1,-1,-1,-1,8,5,5,5
5,5,5,11,-1,-1,-1,-1,-1,-1,-1,4,5,5,5
13,18,5,11,-1,-1,-1,-1,-1,-1,-1,4,5,19,14
-1,8,5,17,2,1,1,1,2,2,1,16,5,11,-1
-1,8,5,5,5,5,5,5,5,5,5,5,5,11,-1
-1,12,13,13,18,5,5,5,5,5,19,14,14,15,-1
-1,-1,-1,-1,8,5,5,5,5,5,7,-1,-1,-1,-1
